文件,中文字符串,替换值
Editor\GUI\McpServiceGUI.cs,检查端口范围内是否有冲突,Check for conflicts in port range
Editor\GUI\McpServiceGUI.cs,使用垂直布局管理整个窗口,Use vertical layout to manage the whole window
Editor\GUI\McpServiceGUI.cs,打开方法所在的脚本文件,Open the script file of the method
Editor\GUI\McpServiceGUI.cs,将使用其他可用端口启动,Will start using other available ports
Editor\GUI\McpServiceGUI.cs,工具方法列表标题和间距,Tool method list header and spacing
Editor\GUI\McpServiceGUI.cs,如果有外部进程占用端口,If external process occupies port
Editor\GUI\McpServiceGUI.cs,检查端口占用时发生错误,Error occurred while checking port occupation
Editor\GUI\McpServiceGUI.cs,从右到左计算各区域位置,Calculate positions of areas from right to left
Editor\GUI\McpServiceGUI.cs,客户端连接状态相关变量,Client connection state related variables
Editor\GUI\McpServiceGUI.cs,转换为小写用于模式匹配,Convert to lowercase for pattern match
Editor\GUI\McpServiceGUI.cs,生成调试示例时发生错误,Error occurred while generating debug sample
Editor\GUI\McpServiceGUI.cs,检查是否是外部进程占用,Check whether it is occupied by external process
Editor\GUI\McpServiceGUI.cs,根据参数信息生成示例值,Generate sample value by parameter info
Editor\GUI\McpServiceGUI.cs,清理冲突端口时发生错误,Error occurred while cleaning conflicting ports
Editor\GUI\McpServiceGUI.cs,确保标签有足够的宽度,Ensure label is wide enough
Editor\GUI\McpServiceGUI.cs,在一行中显示折叠标题,Display collapse header in one row
Editor\GUI\McpServiceGUI.cs,窗口中高亮显示该资源,Highlight resource in window
Editor\GUI\McpServiceGUI.cs,控制面板已移至标题行,Control panel moved to title row
Editor\GUI\McpServiceGUI.cs,设置右对齐的标签样式,Set label style to right-align
Editor\GUI\McpServiceGUI.cs,用户选择清理冲突端口,User selects to clean conflicting ports
Editor\GUI\McpServiceGUI.cs,它会自动选择可用端口,It will auto select available port
Editor\GUI\McpServiceGUI.cs,工具方法列表相关变量,Tool method list related variables
Editor\GUI\McpServiceGUI.cs,按分组名称排序并绘制,Sort and draw by group name
Editor\GUI\McpServiceGUI.cs,额外增加滚动视图高度,Extra increase for scroll view height
Editor\GUI\McpServiceGUI.cs,获取程序集的显示名称,Get display name for assembly
Editor\GUI\McpServiceGUI.cs,处理调试按钮点击事件,Handle debug button click event
Editor\GUI\McpServiceGUI.cs,绘制客户端连接状态,Draw client connection state
Editor\GUI\McpServiceGUI.cs,计算程序集标签宽度,Calculate width of assembly label
Editor\GUI\McpServiceGUI.cs,标签后增加更多间距,Add more spacing after label
Editor\GUI\McpServiceGUI.cs,可选参数用灰色标记,Mark optional parameters in gray
Editor\GUI\McpServiceGUI.cs,生成方法调用的示例,Generate example method invocation
Editor\GUI\McpServiceGUI.cs,客户端列表滚动视图,Client list scroll view
Editor\GUI\McpServiceGUI.cs,窗口边距和滚动条等,Window margins and scrollbars, etc.
Editor\GUI\McpServiceGUI.cs,问号按钮和调试按钮,Question mark and debug buttons
Editor\GUI\McpServiceGUI.cs,获取方法的分组名称,Get method's group name
Editor\GUI\McpServiceGUI.cs,可选参数用普通字体,Optional parameters use regular font
Editor\GUI\McpServiceGUI.cs,将尝试终止占用进程,Will attempt to terminate occupying process
Editor\GUI\McpServiceGUI.cs,生成方法的示例参数,Generate example parameters for method
Editor\GUI\McpServiceGUI.cs,客户端连接状态标题,Client connection state title
Editor\GUI\McpServiceGUI.cs,会自动选择可用端口,Will automatically select available port
Editor\GUI\McpServiceGUI.cs,客户端连接状态部分,Client connection state section
Editor\GUI\McpServiceGUI.cs,按钮后增加更多间距,Add more spacing after button
Editor\GUI\McpServiceGUI.cs,必需参数用红色标记,Mark required parameters in red
Editor\GUI\McpServiceGUI.cs,绘制分组折叠标题,Draw group collapse header
Editor\GUI\McpServiceGUI.cs,询问用户是否清理,Ask user whether to clean
Editor\GUI\McpServiceGUI.cs,计算剩余可用高度,Calculate remaining usable height
Editor\GUI\McpServiceGUI.cs,让它填充剩余空间,Let it fill remaining space
Editor\GUI\McpServiceGUI.cs,记录本次点击时间,Record this click time
Editor\GUI\McpServiceGUI.cs,先设置为默认状态,Set to default first
Editor\GUI\McpServiceGUI.cs,绘制工具方法列表,Draw tool method list
Editor\GUI\McpServiceGUI.cs,无法生成调试示例,Unable to generate debug sample
Editor\GUI\McpServiceGUI.cs,检查启动是否成功,Check if startup succeeded
Editor\GUI\McpServiceGUI.cs,详细信息折叠控制,Detail collapse control
Editor\GUI\McpServiceGUI.cs,检查服务运行状态,Check service running state
Editor\GUI\McpServiceGUI.cs,计算连接持续时间,Calculate connection duration
Editor\GUI\McpServiceGUI.cs,添加工具方法列表,Add tool method list
Editor\GUI\McpServiceGUI.cs,两个按钮的总宽度,Total width of two buttons
Editor\GUI\McpServiceGUI.cs,右侧显示调试按钮,Show debug button on right
Editor\GUI\McpServiceGUI.cs,中不需要动态计算,No dynamic calculation needed here
Editor\GUI\McpServiceGUI.cs,创建参数行的样式,Create param row style
Editor\GUI\McpServiceGUI.cs,根据描述内容推断,Infer from description content
Editor\GUI\McpServiceGUI.cs,确保充分利用空间,Ensure full usage of space
Editor\GUI\McpServiceGUI.cs,如果没有找到脚本,If script not found
Editor\GUI\McpServiceGUI.cs,如果显示详细信息,If displaying details
Editor\GUI\McpServiceGUI.cs,避免误把连接状态,Avoid misidentifying connection state
Editor\GUI\McpServiceGUI.cs,处理按钮点击事件,Handle button click event
Editor\GUI\McpServiceGUI.cs,绘制方法折叠标题,Draw method collapse header
Editor\GUI\McpServiceGUI.cs,估算已占用的空间,Estimate used space
Editor\GUI\McpServiceGUI.cs,并且是否是当前,And whether it is current
Editor\GUI\McpServiceGUI.cs,程序集标签区域,Assembly label area
Editor\GUI\McpServiceGUI.cs,每个客户端约占,Each client takes about
Editor\GUI\McpServiceGUI.cs,客户端连接状态,Client connection status
Editor\GUI\McpServiceGUI.cs,显示其中的方法,Show methods among them
Editor\GUI\McpServiceGUI.cs,折叠标题栏样式,Collapse header bar style
Editor\GUI\McpServiceGUI.cs,暂无客户端连接,No client connection
Editor\GUI\McpServiceGUI.cs,结束主垂直布局,End main vertical layout
Editor\GUI\McpServiceGUI.cs,状态树结构部分,State tree structure section
Editor\GUI\McpServiceGUI.cs,不添加到参数中,Do not add to parameters
Editor\GUI\McpServiceGUI.cs,必需参数用粗体,Mark required parameters in bold
Editor\GUI\McpServiceGUI.cs,确保方法已注册,Ensure method registered
Editor\GUI\McpServiceGUI.cs,定位到脚本文件,Locate script file
Editor\GUI\McpServiceGUI.cs,绘制程序集标签,Draw assembly label
Editor\GUI\McpServiceGUI.cs,按分组分类显示,Group by category to display
Editor\GUI\McpServiceGUI.cs,避免文本被截断,Avoid text truncation
Editor\GUI\McpServiceGUI.cs,按分组分类方法,Group by category method
Editor\GUI\McpServiceGUI.cs,加载并打开脚本,Load and open script
Editor\GUI\McpServiceGUI.cs,程序集显示名称,Assembly display name
Editor\GUI\McpServiceGUI.cs,客户端基本信息,Client basic information
Editor\GUI\McpServiceGUI.cs,判断是否为双击,Determine if double-click
Editor\GUI\McpServiceGUI.cs,获取程序集名称,Get assembly name
Editor\GUI\McpServiceGUI.cs,窗口中找到脚本,Find script in window
Editor\GUI\McpServiceGUI.cs,无法在端口范围,Cannot within port range
Editor\GUI\McpServiceGUI.cs,被外部进程占用,Occupied by external process
Editor\GUI\McpServiceGUI.cs,打开脚本文件,Open script file
Editor\GUI\McpServiceGUI.cs,使用固定高度,Use fixed height
Editor\GUI\McpServiceGUI.cs,仅当端口处于,Only when port is at
Editor\GUI\McpServiceGUI.cs,如果生成失败,If generation failed
Editor\GUI\McpServiceGUI.cs,绘制折叠标题,Draw collapse header
Editor\GUI\McpServiceGUI.cs,计算文本行数,Calculate text lines
Editor\GUI\McpServiceGUI.cs,外部进程占用,Occupied by external process
Editor\GUI\McpServiceGUI.cs,折叠标题区域,Collapse header area
Editor\GUI\McpServiceGUI.cs,添加一些间距,Add some spacing
Editor\GUI\McpServiceGUI.cs,无法打开脚本,Unable to open script
Editor\GUI\McpServiceGUI.cs,支持折叠展开,Support folding
Editor\GUI\McpServiceGUI.cs,示例参数对象,Sample parameter object
Editor\GUI\McpServiceGUI.cs,不预填充内容,Do not prefill content
Editor\GUI\McpServiceGUI.cs,绘制调试按钮,Draw debug button
Editor\GUI\McpServiceGUI.cs,显示连接数量,Show connection count
Editor\GUI\McpServiceGUI.cs,问号按钮区域,Question mark area
Editor\GUI\McpServiceGUI.cs,获取分组名称,Get group name
Editor\GUI\McpServiceGUI.cs,才认为被占用,Then considered occupied
Editor\GUI\McpServiceGUI.cs,获取当前时间,Get current time
Editor\GUI\McpServiceGUI.cs,显示详细信息,Show details
Editor\GUI\McpServiceGUI.cs,并预填充示例,And prefill sample
Editor\GUI\McpServiceGUI.cs,只显示方法名,Show only method name
Editor\GUI\McpServiceGUI.cs,必需参数默认,Required parameter default
Editor\GUI\McpServiceGUI.cs,查找脚本资源,Find script resource
Editor\GUI\McpServiceGUI.cs,可选参数默认,Optional parameter default
Editor\GUI\McpServiceGUI.cs,通过反射获取,Get via reflection
Editor\GUI\McpServiceGUI.cs,使用基础模板,Use base template
Editor\GUI\McpServiceGUI.cs,检查端口占用,Check port usage
Editor\GUI\McpServiceGUI.cs,打开调试窗口,Open debug window
Editor\GUI\McpServiceGUI.cs,获取预览信息,Get preview info
Editor\GUI\McpServiceGUI.cs,时间间隔小于,Time interval less than
Editor\GUI\McpServiceGUI.cs,不再单独显示,No longer shown alone
Editor\GUI\McpServiceGUI.cs,左侧显示标题,Show title at left
Editor\GUI\McpServiceGUI.cs,调试按钮区域,Debug button area
Editor\GUI\McpServiceGUI.cs,显示端口信息,Show port info
Editor\GUI\McpServiceGUI.cs,可用工具方法,Available tool methods
Editor\GUI\McpServiceGUI.cs,返回基础模板,Return base template
Editor\GUI\McpServiceGUI.cs,分组折叠状态,Group collapse state
Editor\GUI\McpServiceGUI.cs,服务运行状态,Service run status
Editor\GUI\McpServiceGUI.cs,调试窗口按钮,Debug window button
Editor\GUI\McpServiceGUI.cs,获取方法类型,Get method type
Editor\GUI\McpServiceGUI.cs,绘制问号按钮,Draw question button
Editor\GUI\McpServiceGUI.cs,双击判定时间,Double-click threshold
Editor\GUI\McpServiceGUI.cs,显示预览信息,Show preview info
Editor\GUI\McpServiceGUI.cs,返回默认分组,Return to default group
Editor\GUI\McpServiceGUI.cs,如果分组展开,If group expanded
Editor\GUI\McpServiceGUI.cs,重置点击时间,Reset click time
Editor\GUI\McpServiceGUI.cs,判断是否有,Determine if exists
Editor\GUI\McpServiceGUI.cs,绘制完整的,Draw full
Editor\GUI\McpServiceGUI.cs,更淡的灰色,Lighter gray
Editor\GUI\McpServiceGUI.cs,再加上边距,And add margin
